City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
535,Quibor,VE,81.09,overcast clouds,9.9287,-69.6201,Hostería Valle de Quibor
536,Lufkin,US,84.47,scattered clouds,31.3382,-94.7291,Courtyard by Marriott Lufkin
538,Middletown,US,87.55,clear sky,39.5151,-84.3983,Center of Hope for Women and Children
545,Okitipupa,NG,84.97,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
546,Rockingham,US,80.1,overcast clouds,42.9668,-71.0995,Iron Wheel Mobile Home Park
548,Kropotkin,RU,77.09,overcast clouds,45.4375,40.5756,Hotel Europe Kropotkin
550,Manokwari,ID,79.9,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
554,Isangel,VU,76.06,overcast clouds,-19.55,169.2667,Tanna Lodge
555,Panchagarh,BD,79.0,overcast clouds,26.3313,88.562,Central Guest House (Pvt.) Ltd.
556,Planeta Rica,CO,78.04,overcast clouds,8.4147,-75.5883,HOTEL MEDIA LUNA
558,Rujewa,TZ,76.69,broken clouds,-8.7,34.3833,Mafanikio Inn Lodge
567,Koratagere,IN,80.56,overcast clouds,13.5228,77.2331,DileepNS
569,Sumbe,AO,78.35,few clouds,-11.2061,13.8437,Hotel Ritz Sumbe
570,Puri,IN,88.32,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
571,Makat,KZ,77.02,clear sky,47.6469,53.3463,Umit
577,Alappuzha,IN,80.73,moderate rain,9.49,76.3264,Panoramic Sea Resort
578,Hodmezovasarhely,HU,89.04,clear sky,46.4167,20.3333,Hotel Fama
581,Vila,PT,85.69,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
584,Bontang,ID,80.49,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
585,Kailua,US,76.64,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
586,Ternate,ID,81.03,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
588,Marsa Matruh,EG,76.68,clear sky,31.3525,27.2453,Beau Site
590,Altay,CN,75.33,overcast clouds,47.8667,88.1167,Jinqiao Hotel
591,Tuy Hoa,VN,79.92,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
594,Kanker,IN,85.66,overcast clouds,20.2719,81.4931,STARiHOTEL Kanker
598,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
599,Porto Novo,BJ,83.32,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
600,Sayyan,YE,78.22,overcast clouds,15.1718,44.3244,ملاطف ابوحورية
601,Isla Mujeres,MX,86.05,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
609,Taman,RU,78.15,overcast clouds,45.2117,36.7161,Staryy Gorod G. Taman'
610,Bonthe,SL,82.13,light rain,7.5264,-12.505,Bonthe Holiday Village
617,Mogadishu,SO,79.68,overcast clouds,2.0371,45.3438,Hotel Juba
623,Sheopur,IN,87.75,broken clouds,25.6667,76.7,Shri Ram Dharmshala
626,Cancun,MX,85.93,scattered clouds,21.1743,-86.8466,Hotel Tankah Cancun
629,El Campo,US,88.84,haze,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
630,Iralaya,HN,77.67,overcast clouds,15.0,-83.2333,Iglesia morava renovada
631,Dwarka,IN,85.87,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
632,Karpathos,GR,76.96,few clouds,35.507,27.2132,Alex
633,Nueva Gerona,CU,86.14,clear sky,21.8833,-82.8,Casa de la Alegria
635,Uthal,PK,86.72,clear sky,25.8072,66.6219,Al-Mustafa Hotel
636,Huambo,AO,75.36,clear sky,-12.7761,15.7392,SiSHotel
639,Ikom,NG,81.12,light rain,5.9667,8.7063,Reho Farm & Resort
640,Alta Floresta,BR,82.08,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
641,Pokhara,NP,77.45,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
644,Matamoros,MX,84.31,clear sky,25.5333,-103.25,Quinta Belem
645,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
646,Yenagoa,NG,81.68,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
665,Sulangan,PH,84.54,overcast clouds,11.1373,123.7228,Maia's Beach Resort
666,San Blas,MX,87.69,clear sky,21.5167,-105.2667,Hotel Posada del Rey
671,Nago,JP,81.45,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
672,Nandgaon,IN,84.9,overcast clouds,20.3167,74.65,Hotel Visava
674,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
